symbol,entry_time,entry_price,direction,exit_time,exit_price,exit_reason,R_outcome
ADAUSDT,2025-12-29T08:00:00+00:00,0.3692,LONG,2025-12-29T12:00:00+00:00,0.3648756947398772,SL,-1.0
AVAXUSDT,2025-12-29T08:00:00+00:00,12.712,LONG,2025-12-29T12:00:00+00:00,12.54313360193064,SL,-1.0
LINKUSDT,2025-12-29T08:00:00+00:00,12.5,LONG,2025-12-29T12:00:00+00:00,12.387357008133508,SL,-1.0
BNBUSDT,2025-12-30T12:00:00+00:00,862.4,LONG,2026-01-13T16:00:00+00:00,939.8593772804278,TP2,3.2
DOGEUSDT,2025-12-30T16:00:00+00:00,0.12325,SHORT,2026-01-01T12:00:00+00:00,0.12325,TP1,0.8
DOGEUSDT,2026-01-06T04:00:00+00:00,0.14945,LONG,2026-01-06T16:00:00+00:00,0.14945,TP1,0.8
BTCUSDT,2026-01-06T16:00:00+00:00,92077.3,LONG,2026-01-07T12:00:00+00:00,91047.27944059705,SL,-1.0
SOLUSDT,2026-01-06T16:00:00+00:00,137.47,LONG,2026-01-07T16:00:00+00:00,135.1107477944892,SL,-1.0
ETHUSDT,2026-01-07T08:00:00+00:00,3218.97,LONG,2026-01-07T12:00:00+00:00,3184.1549047096814,SL,-1.0
BNBUSDT,2026-01-16T12:00:00+00:00,926.5,LONG,2026-01-17T12:00:00+00:00,958.0875622206154,TP2,3.2
BNBUSDT,2026-01-18T20:00:00+00:00,931.7,LONG,2026-01-19T00:00:00+00:00,923.5304076023358,SL,-1.0
DOGEUSDT,2026-01-21T20:00:00+00:00,0.12645,SHORT,2026-01-31T12:00:00+00:00,0.1055325227400235,TP2,3.2
SOLUSDT,2026-01-22T12:00:00+00:00,127.32,SHORT,2026-01-31T16:00:00+00:00,104.98840062202572,TP2,3.2
ADAUSDT,2026-01-26T00:00:00+00:00,0.3449,SHORT,2026-01-26T12:00:00+00:00,0.3538094500668062,SL,-1.0
XRPUSDT,2026-01-26T00:00:00+00:00,1.8687,SHORT,2026-01-26T12:00:00+00:00,1.8974389912012697,SL,-1.0
SOLUSDT,2026-01-27T12:00:00+00:00,124.96,SHORT,2026-01-27T16:00:00+00:00,126.17680055211976,SL,-1.0
DOGEUSDT,2026-02-04T00:00:00+00:00,0.10885,SHORT,2026-02-05T08:00:00+00:00,0.10025860715066887,TP2,3.2
TONUSDT,2026-02-04T12:00:00+00:00,1.357,SHORT,2026-02-06T16:00:00+00:00,1.357,TP1,0.8
TONUSDT,2026-02-05T12:00:00+00:00,1.3297,SHORT,2026-02-06T12:00:00+00:00,1.3297,TP1,0.8
BTCUSDT,2026-02-07T12:00:00+00:00,69116.4,SHORT,2026-02-08T08:00:00+00:00,70907.4032369764,SL,-1.0
SOLUSDT,2026-02-07T12:00:00+00:00,86.54,SHORT,2026-02-14T08:00:00+00:00,86.54,TP1,0.8
SOLUSDT,2026-02-08T00:00:00+00:00,86.74,SHORT,2026-02-14T08:00:00+00:00,86.74,TP1,0.8
BTCUSDT,2026-02-08T04:00:00+00:00,69663.7,SHORT,2026-02-08T08:00:00+00:00,70717.58975300091,SL,-1.0
SOLUSDT,2026-02-08T20:00:00+00:00,86.9,SHORT,2026-02-14T08:00:00+00:00,86.9,TP1,0.8
SOLUSDT,2026-02-09T16:00:00+00:00,87.91,SHORT,2026-02-11T12:00:00+00:00,78.96143275556759,TP2,3.2
SOLUSDT,2026-02-10T04:00:00+00:00,84.57,SHORT,2026-02-15T04:00:00+00:00,90.04373562645937,SL,-1.0
AVAXUSDT,2026-02-11T16:00:00+00:00,8.695,SHORT,2026-02-12T08:00:00+00:00,8.852403626176926,SL,-1.0
BTCUSDT,2026-02-12T00:00:00+00:00,67554.5,SHORT,2026-02-13T12:00:00+00:00,67554.5,TP1,0.8
ETHUSDT,2026-02-13T08:00:00+00:00,1959.5,SHORT,2026-02-13T12:00:00+00:00,2003.4983611961868,SL,-1.0
ADAUSDT,2026-02-17T08:00:00+00:00,0.2802,LONG,2026-02-18T16:00:00+00:00,0.27568383948482433,SL,-1.0
ADAUSDT,2026-02-18T08:00:00+00:00,0.2805,LONG,2026-02-18T16:00:00+00:00,0.2758458038689111,SL,-1.0
DOGEUSDT,2026-02-23T08:00:00+00:00,0.09666,SHORT,2026-02-24T00:00:00+00:00,0.09126825206312919,TP2,3.2
AVAXUSDT,2026-03-02T12:00:00+00:00,9.307,LONG,2026-03-18T12:00:00+00:00,9.557,timeout,0.0
LINKUSDT,2026-03-02T20:00:00+00:00,8.945,LONG,2026-03-03T08:00:00+00:00,8.631767093213504,SL,-1.0
BTCUSDT,2026-03-03T08:00:00+00:00,66999.3,LONG,2026-03-04T08:00:00+00:00,71076.51537597187,TP2,3.2
BNBUSDT,2026-03-04T04:00:00+00:00,639.8,LONG,2026-03-07T16:00:00+00:00,622.4053607585537,SL,-1.0
BTCUSDT,2026-03-04T04:00:00+00:00,69460.2,LONG,2026-03-08T20:00:00+00:00,65950.07929323034,SL,-1.0
XRPUSDT,2026-03-14T20:00:00+00:00,1.4056,LONG,2026-03-16T12:00:00+00:00,1.5119740829200545,TP2,3.2
BNBUSDT,2026-03-18T00:00:00+00:00,673.1,LONG,2026-03-18T08:00:00+00:00,662.458097031136,SL,-1.0
TONUSDT,2026-03-18T08:00:00+00:00,1.3208,LONG,2026-03-18T12:00:00+00:00,1.308455917909785,SL,-1.0
ADAUSDT,2026-03-23T08:00:00+00:00,0.2586,SHORT,2026-03-23T12:00:00+00:00,0.2662598489321174,SL,-1.0
SOLUSDT,2026-03-26T00:00:00+00:00,91.01,LONG,2026-03-26T04:00:00+00:00,89.01021168664444,SL,-1.0
TONUSDT,2026-03-30T20:00:00+00:00,1.2246,SHORT,2026-04-03T00:00:00+00:00,1.2433544886732855,SL,-1.0
TONUSDT,2026-03-31T08:00:00+00:00,1.2174,SHORT,2026-04-03T00:00:00+00:00,1.2430349896556883,SL,-1.0
BNBUSDT,2026-03-31T16:00:00+00:00,615.5,SHORT,2026-04-02T08:00:00+00:00,584.4572111038838,TP2,3.2
BNBUSDT,2026-04-01T20:00:00+00:00,610.4,SHORT,2026-04-07T20:00:00+00:00,610.4,TP1,0.8
BTCUSDT,2026-04-03T04:00:00+00:00,67011.9,SHORT,2026-04-05T12:00:00+00:00,67575.53123849166,SL,-1.0
BTCUSDT,2026-04-03T20:00:00+00:00,66932.7,SHORT,2026-04-04T12:00:00+00:00,67509.93386746565,SL,-1.0
LINKUSDT,2026-04-04T20:00:00+00:00,8.687,SHORT,2026-04-05T20:00:00+00:00,8.79923946545156,SL,-1.0
AVAXUSDT,2026-04-05T04:00:00+00:00,8.796,SHORT,2026-04-06T00:00:00+00:00,9.129044195642853,SL,-1.0
SOLUSDT,2026-04-07T16:00:00+00:00,81.56,SHORT,2026-04-07T20:00:00+00:00,83.69085656433882,SL,-1.0
LINKUSDT,2026-04-08T20:00:00+00:00,8.851,LONG,2026-04-12T00:00:00+00:00,8.851,TP1,0.8
ADAUSDT,2026-04-09T12:00:00+00:00,0.2545,LONG,2026-04-11T12:00:00+00:00,0.2470768071478609,SL,-1.0
AVAXUSDT,2026-04-09T12:00:00+00:00,9.334,LONG,2026-04-25T12:00:00+00:00,9.339,timeout,0.0
XRPUSDT,2026-04-09T12:00:00+00:00,1.3516,LONG,2026-04-25T12:00:00+00:00,1.4248,timeout,0.8
ADAUSDT,2026-04-10T00:00:00+00:00,0.2515,LONG,2026-04-11T12:00:00+00:00,0.24708928400286093,SL,-1.0
ETHUSDT,2026-04-10T08:00:00+00:00,2214.67,LONG,2026-04-17T12:00:00+00:00,2454.7860753530367,TP2,3.2
SOLUSDT,2026-04-10T08:00:00+00:00,83.49,LONG,2026-04-12T20:00:00+00:00,81.190822150112,SL,-1.0
ADAUSDT,2026-04-10T12:00:00+00:00,0.2538,LONG,2026-04-11T12:00:00+00:00,0.24719080063931687,SL,-1.0
AVAXUSDT,2026-04-11T00:00:00+00:00,9.317,LONG,2026-04-12T00:00:00+00:00,9.164324971151446,SL,-1.0
XRPUSDT,2026-04-11T04:00:00+00:00,1.3458,LONG,2026-04-12T00:00:00+00:00,1.3256634350673446,SL,-1.0
XRPUSDT,2026-04-11T16:00:00+00:00,1.3706,LONG,2026-04-12T00:00:00+00:00,1.325785028003993,SL,-1.0
AVAXUSDT,2026-04-13T12:00:00+00:00,9.2,LONG,2026-04-19T04:00:00+00:00,9.2,TP1,0.8
BTCUSDT,2026-04-13T12:00:00+00:00,71826.1,LONG,2026-04-22T12:00:00+00:00,78556.28028730556,TP2,3.2
BTCUSDT,2026-04-15T16:00:00+00:00,74960.3,LONG,2026-04-16T12:00:00+00:00,73251.75774400962,SL,-1.0
AVAXUSDT,2026-04-22T16:00:00+00:00,9.469,LONG,2026-04-23T00:00:00+00:00,9.308693904961425,SL,-1.0
XRPUSDT,2026-04-22T16:00:00+00:00,1.4404,LONG,2026-04-23T00:00:00+00:00,1.423365126494825,SL,-1.0
DOGEUSDT,2026-04-22T20:00:00+00:00,0.09557,LONG,2026-04-23T16:00:00+00:00,0.09557,TP1,0.8
BNBUSDT,2026-04-23T12:00:00+00:00,639.4,LONG,2026-04-25T12:00:00+00:00,628.5523043805649,SL,-1.0
DOGEUSDT,2026-04-23T12:00:00+00:00,0.09731,LONG,2026-04-29T08:00:00+00:00,0.10762200020158545,TP2,3.2
BNBUSDT,2026-04-24T08:00:00+00:00,637.7,LONG,2026-04-25T12:00:00+00:00,628.6551936142179,SL,-1.0
BTCUSDT,2026-04-24T16:00:00+00:00,77589.4,LONG,2026-04-27T12:00:00+00:00,76622.7626922678,SL,-1.0
BNBUSDT,2026-04-24T20:00:00+00:00,635.8,LONG,2026-04-25T12:00:00+00:00,628.907073750159,SL,-1.0
BNBUSDT,2026-04-25T08:00:00+00:00,634.4,LONG,2026-04-25T12:00:00+00:00,629.2303174304299,SL,-1.0
DOGEUSDT,2026-04-28T08:00:00+00:00,0.09858,LONG,2026-04-29T04:00:00+00:00,0.10324768169141724,TP2,3.2
ADAUSDT,2026-04-29T12:00:00+00:00,0.2439,SHORT,2026-05-04T00:00:00+00:00,0.2532296733869864,SL,-1.0
BNBUSDT,2026-05-02T12:00:00+00:00,617.8,SHORT,2026-05-02T20:00:00+00:00,620.6914074252447,SL,-1.0
LINKUSDT,2026-05-02T12:00:00+00:00,9.158,SHORT,2026-05-02T20:00:00+00:00,9.211864763513288,SL,-1.0
LINKUSDT,2026-05-03T00:00:00+00:00,9.088,SHORT,2026-05-04T00:00:00+00:00,9.253848719183196,SL,-1.0
SOLUSDT,2026-05-12T00:00:00+00:00,96.09,LONG,2026-05-12T08:00:00+00:00,94.714051312531,SL,-1.0
ETHUSDT,2026-05-14T04:00:00+00:00,2264.34,SHORT,2026-05-14T16:00:00+00:00,2312.63044658794,SL,-1.0
SOLUSDT,2026-05-14T12:00:00+00:00,93.1,LONG,2026-05-15T12:00:00+00:00,89.41885110387045,SL,-1.0
ETHUSDT,2026-05-21T12:00:00+00:00,2131.46,SHORT,2026-05-23T20:00:00+00:00,2131.46,TP1,0.8
ETHUSDT,2026-05-22T04:00:00+00:00,2127.64,SHORT,2026-05-23T04:00:00+00:00,2033.6237068435116,TP2,3.2
TONUSDT,2026-05-25T00:00:00+00:00,1.7832,SHORT,2026-05-25T12:00:00+00:00,1.8500384059653012,SL,-1.0
ADAUSDT,2026-05-26T08:00:00+00:00,0.2442,SHORT,2026-05-26T12:00:00+00:00,0.24667549625162608,SL,-1.0
SOLUSDT,2026-05-26T08:00:00+00:00,85.18,SHORT,2026-05-28T00:00:00+00:00,81.28596246499842,TP2,3.2
DOGEUSDT,2026-05-27T04:00:00+00:00,0.10213,SHORT,2026-05-28T04:00:00+00:00,0.0973670742092218,TP2,3.2
DOGEUSDT,2026-05-27T20:00:00+00:00,0.10043,SHORT,2026-06-04T00:00:00+00:00,0.08854835944631366,TP2,3.2
BTCUSDT,2026-05-30T12:00:00+00:00,73889.3,SHORT,2026-06-01T12:00:00+00:00,71187.16176849279,TP2,3.2
BTCUSDT,2026-05-31T00:00:00+00:00,74109.9,SHORT,2026-06-01T08:00:00+00:00,72450.24508213505,TP2,3.2
BTCUSDT,2026-05-31T12:00:00+00:00,73617.0,SHORT,2026-06-02T00:00:00+00:00,70366.97191889607,TP2,3.2
BTCUSDT,2026-06-01T04:00:00+00:00,72770.2,SHORT,2026-06-03T00:00:00+00:00,66042.78987337543,TP2,3.2
ADAUSDT,2026-06-09T08:00:00+00:00,0.1674,SHORT,2026-06-13T12:00:00+00:00,0.17548744079725145,SL,-1.0
ADAUSDT,2026-06-09T20:00:00+00:00,0.1651,SHORT,2026-06-13T12:00:00+00:00,0.1755513328832221,SL,-1.0
XRPUSDT,2026-06-22T08:00:00+00:00,1.1472,SHORT,2026-06-22T12:00:00+00:00,1.1607253987091621,SL,-1.0
